Phytoplankton Monitoring Programme results,,,,,,,,,,,,,,,
Sample number,Production area,Bed ID,Local authority,"Grid reference

Note 1             ",Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) ",,
1/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,1/4/2021,ND,ND,ND,ND,ND,ND,ND,,
2/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,1/4/2021,ND,ND,ND,ND,ND,ND,ND,,
3/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,1/5/2021,ND,ND,ND,400,ND,ND,ND,,
4/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,1/5/2021,ND,ND,ND,ND,ND,ND,ND,,
5/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,1/6/2021,ND,ND,ND,ND,ND,ND,ND,,
6/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
7/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
9/21,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
10/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
11/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
12/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
13/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,1/10/2021,ND,ND,ND,ND,ND,ND,ND,,
14/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
15/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,1/12/2021,ND,ND,ND,ND,ND,ND,ND,,
